Ticks,Gold Collected Blue,Gold Spent Blue,Units Built Blue,Units Lost Blue,Buildings Standing Blue,Building Health Blue,Damage Dealt Blue,Units in Enemy Territory Blue,Gold Collected Red,Gold Spent Red,Units Built Red,Units Lost Red,Buildings Standing Red,Building Health Red,Damage Dealt Red,Units in Enemy Territory Red
Ticks,Gold Collected Blue,Gold Spent Blue,Units Built Blue,Units Lost Blue,Buildings Standing Blue,Building Health Blue,Damage Dealt Blue,Units in Enemy Territory Blue,Gold Collected Red,Gold Spent Red,Units Built Red,Units Lost Red,Buildings Standing Red,Building Health Red,Damage Dealt Red,Units in Enemy Territory Red
268,1405,1050,48,12,4,12000,520,5,268,1405,800,28,2,4,12000,2040,0
269,1405,1050,48,13,4,12000,560,4,269,1405,800,28,2,4,12000,2210,0
270,1464,1250,52,13,4,12000,600,5,270,1464,800,28,2,4,12000,2320,0
271,1464,1250,52,14,4,12000,650,4,271,1464,800,28,3,4,12000,2470,0
272,1464,1250,52,14,4,12000,690,5,272,1464,800,28,3,4,12000,2580,0
273,1464,1250,52,14,4,12000,750,5,273,1464,800,28,3,4,12000,2700,0
274,1464,1250,52,15,4,12000,810,5,274,1464,800,28,4,4,12000,2890,0
275,1464,1250,52,15,4,12000,850,5,275,1464,800,28,4,4,12000,3020,2
276,1464,1250,52,17,4,12000,850,4,276,1464,800,28,4,4,12000,3150,4
277,1464,1250,52,17,4,12000,870,4,277,1464,800,28,4,4,12000,3160,5
278,1464,1250,52,17,4,12000,890,4,278,1464,800,28,4,4,12000,3280,5
279,1464,1250,52,18,4,12000,910,3,279,1464,800,28,4,4,12000,3410,7
280,1464,1250,52,18,4,12000,930,3,280,1464,800,28,4,4,12000,3480,7
280,1562,1350,56,18,4,12000,950,3,280,1562,800,28,5,4,12000,3560,7
281,1562,1350,56,18,4,12000,950,3,281,1562,800,28,5,4,12000,3560,7
282,1562,1350,56,19,4,12000,970,3,282,1562,850,32,5,4,12000,3700,7
283,1562,1350,56,19,4,12000,990,3,283,1562,850,32,5,4,12000,3820,7
284,1562,1350,56,19,4,12000,1010,3,284,1562,850,32,5,4,12000,3860,7
285,1562,1350,56,19,4,12000,1030,3,285,1562,850,32,5,4,12000,3900,7
286,1562,1350,56,19,4,12000,1050,3,286,1562,850,32,5,4,12000,3940,7
287,1562,1350,56,19,4,12000,1070,3,287,1562,850,32,5,4,12000,3980,7
